CustomerID,FirstName,LastName,Age,PhoneNumber,MonthlySalary,ApprovedLimit
62.0,Al,Campos,47,9149217543,137000.0,3900000
63.0,Alaina,Vega,35,9992348339,103000.0,2200000
64.0,Alaine,Diez,55,9758344890,251000.0,4500000
65.0,Alan,Fuentes,57,9595569782,115000.0,2900000
66.0,Alana,Carrasco,26,9427347438,115000.0,900000
67.0,Alane,Caballero,58,9361616072,125000.0,1900000
68.0,Alanna,Nieto,66,9524176204,125000.0,3500000
69.0,Alayna,Reyes,66,9268654052,272000.0,1800000
70.0,Alba,Aguilar,26,9205423253,182000.0,4500000
71.0,Albert,Pascual,47,9562313349,200000.0,1400000
72.0,Alberta,Herrero,47,9491724627,262000.0,2600000
73.0,Albertha,Santana,29,9816789699,37000.0,1000000
74.0,Albertina,Lorenzo,42,9634762010,97000.0,4300000
75.0,Albertine,Hidalgo,26,9218601399,179000.0,2800000
76.0,Alberto,Montero,49,9981075707,156000.0,3600000
77.0,Albina,Ibañez,52,9974454249,86000.0,2700000
78.0,Alda,Gimenez,21,9167349806,139000.0,2800000
79.0,Alden,Ferrer,37,9991320743,98000.0,1800000
80.0,Aldo,Duran,33,9462704542,124000.0,4800000
81.0,Alease,Vicente,23,9564591142,173000.0,1400000
82.0,Alec,Benitez,28,9179390750,226000.0,3600000
83.0,Alecia,Santiago,38,9381758869,118000.0,3200000
84.0,Aleen,Arias,21,9730406749,173000.0,2100000
85.0,Aleida,Mora,21,9137987756,297000.0,2000000
86.0,Aleisha,Vargas,30,9223519103,99000.0,1500000
87.0,Alejandra,Carmona,25,9445837880,283000.0,4500000
88.0,Alejandrina,Crespo,43,9751473139,153000.0,4000000
89.0,Alejandro,Roman,49,9128163265,254000.0,900000
90.0,Alena,Pastor,60,9894229042,188000.0,1100000
91.0,Alene,Soto,23,9739726730,117000.0,5000000
92.0,Alesha,Saez,69,9189519360,299000.0,4700000
93.0,Aleshia,Velasco,51,9421081778,40000.0,2500000
94.0,Alesia,Soler,36,9575328207,274000.0,2200000
95.0,Alessandra,Moya,25,9433928278,204000.0,1700000
96.0,Aleta,Esteban,59,9988557960,32000.0,2200000
97.0,Aletha,Parra,62,9359949074,82000.0,4200000
98.0,Alethea,Bravo,48,9166978798,128000.0,2300000
99.0,Alethia,Gallardo,26,9566370655,61000.0,5000000
100.0,Alex,Rojas,54,9188818547,126000.0,1600000
101.0,Alexa,Pardo,24,9323499370,220000.0,3000000
102.0,Alexander,Merino,25,9374095164,72000.0,2700000
103.0,Alexandra,Franco,28,9753274093,183000.0,3300000
104.0,Alexandria,Espinosa,56,9127076732,228000.0,2400000
105.0,Alexia,Lara,39,9532197189,270000.0,2200000
106.0,Alexis,Izquierdo,55,9735221602,210000.0,1100000
107.0,Alfonso,Rivas,60,9705098042,179000.0,1800000
108.0,Alfonzo,Rivera,43,9686191215,160000.0,2200000
109.0,Alfred,Silva,32,9181911447,83000.0,4100000
110.0,Alfreda,Casado,33,9496701237,82000.0,2100000
111.0,Alfredia,Arroyo,42,9507833646,254000.0,1600000
112.0,Alfredo,Redondo,62,9400932820,109000.0,3500000
113.0,Ali,Camacho,62,9418043666,133000.0,3300000
114.0,Alia,Vera,25,9825891714,286000.0,1400000
115.0,Alica,Rey,40,9622353299,56000.0,2600000
116.0,Alice,Otero,57,9651800595,295000.0,4800000
117.0,Alicia,Luque,55,9432594533,142000.0,3400000
118.0,Alida,Galan,65,9797193032,66000.0,2800000
119.0,Alina,Montes,38,9787338247,65000.0,1800000
120.0,Aline,Rios,56,9931069853,35000.0,3300000
121.0,Alisa,Sierra,49,9553301335,185000.0,2600000
122.0,Alise,Segura,47,9435660957,111000.0,3900000
123.0,Alisha,Carrillo,39,9358282814,296000.0,2200000
124.0,Alishia,Marcos,42,9602750181,66000.0,4700000
125.0,Alisia,Marti,32,9238590504,187000.0,2600000
126.0,Alison,Soriano,25,9271505723,298000.0,2200000
127.0,Alissa,Mendoza,50,9113529525,156000.0,2300000
128.0,Alita,Bernal,59,9466876139,80000.0,4200000
129.0,Alix,Robles,28,9147382619,82000.0,1500000
130.0,Aliza,Vila,54,9514797279,137000.0,2300000
131.0,Alla,Valero,67,9646696515,85000.0,1500000
132.0,Allan,Palacios,54,9712913338,62000.0,3800000
133.0,Alleen,Exposito,21,9877268337,226000.0,2000000
134.0,Allegra,Benito,60,9874514960,35000.0,3100000
135.0,Allen,Varela,69,9613876405,207000.0,3100000
136.0,Allena,Andres,42,9382806265,149000.0,3300000
137.0,Allene,Macias,66,9246753642,67000.0,3800000
138.0,Allie,Pereira,44,9445865951,38000.0,2000000
139.0,Alline,Guerra,33,9849527399,188000.0,2200000
140.0,Allison,Heredia,55,9108426917,117000.0,1800000
141.0,Allyn,Bueno,51,9151744928,145000.0,3500000
142.0,Allyson,Roldan,33,9332615028,126000.0,1100000
143.0,Alma,Mateo,38,9728766910,206000.0,4900000
144.0,Almeda,Villar,32,9974670955,160000.0,4700000
145.0,Almeta,Contreras,54,9710283227,254000.0,2700000
146.0,Alona,Miranda,58,9799331943,253000.0,4700000
147.0,Alonso,Guillen,70,9212915606,220000.0,1600000
148.0,Alonzo,Mateos,40,9449095187,93000.0,2000000
149.0,Alpha,Escudero,63,9969294698,149000.0,2800000
150.0,Alphonse,Aguilera,27,9722591656,157000.0,3100000
151.0,Alphonso,Casas,64,9141726068,250000.0,4800000
152.0,Alta,Menendez,34,9887886049,291000.0,4300000
153.0,Altagracia,Aparicio,62,9320321242,215000.0,3100000
154.0,Altha,Rivero,31,9475534315,52000.0,2700000
155.0,Althea,Estevez,29,9179384063,126000.0,1100000
156.0,Alton,Beltran,41,9337276177,189000.0,1100000
157.0,Alva,Padilla,59,9827444359,235000.0,4000000
158.0,Alvaro,Calderon,38,9323617366,197000.0,3400000
159.0,Alvera,Rico,51,9704581467,163000.0,1900000
160.0,Alverta,Gracia,31,9135078377,204000.0,1100000
161.0,Alvin,Galvez,69,9363267543,282000.0,2800000
162.0,Alvina,Abad,38,9451186595,135000.0,2800000
163.0,Alyce,Conde,29,9643464078,286000.0,2900000
164.0,Alycia,Salas,50,9316384637,129000.0,1500000
165.0,Alysa,Jurado,42,9201326304,58000.0,1800000
166.0,Alyse,Quintana,41,9481659601,47000.0,3300000
167.0,Alysha,Plaza,26,9641961065,142000.0,2500000
168.0,Alysia,Acosta,27,9380264639,194000.0,4800000
169.0,Alyson,Aranda,45,9525136195,178000.0,3800000
170.0,Alyssa,Blazquez,22,9964508328,111000.0,3000000
171.0,Amada,Bermudez,63,9521112531,138000.0,3800000
172.0,Amado,Roca,35,9889502231,260000.0,800000
173.0,Amal,Salazar,44,9401771136,222000.0,4600000
174.0,Amalia,Costa,40,9882495478,183000.0,3900000
175.0,Amanda,Santamaria,22,9732443173,207000.0,2300000
176.0,Amber,Miguel,69,9910185838,107000.0,2400000
177.0,Amberly,Guzman,57,9800339036,137000.0,2800000
178.0,Ambrose,Serra,23,9189346724,134000.0,2700000
179.0,Amee,Villanueva,65,9434796450,50000.0,1500000
180.0,Amelia,Manzano,33,9462575278,189000.0,4100000
181.0,America,Cuesta,56,9213807132,288000.0,3900000
182.0,Ami,Tomas,57,9942105069,61000.0,2100000
183.0,Amie,Hurtado,28,9220299612,294000.0,2100000
184.0,Amiee,Rueda,43,9282430141,106000.0,4300000
185.0,Amina,Trujillo,26,9117895864,154000.0,4500000
186.0,Amira,Avila,22,9766809898,117000.0,4400000
187.0,Ammie,Pacheco,39,9285592769,34000.0,4900000
188.0,Amos,Simon,26,9229411461,107000.0,3300000
189.0,Amparo,De La Fuente,36,9904125266,197000.0,4200000
190.0,Amy,Pons,21,9525562036,264000.0,3700000
191.0,An,Lazaro,39,9878621805,218000.0,1200000
192.0,Ana,Mesa,65,9953004088,231000.0,2600000
193.0,Anabel,Sancho,49,9344895758,292000.0,1500000
194.0,Analisa,Del Rio,55,9847471634,240000.0,3800000
195.0,Anamaria,Escobar,65,9775138358,159000.0,4100000
196.0,Anastacia,Millan,69,9151416579,84000.0,4400000
197.0,Anastasia,Blasco,24,9700368897,165000.0,4500000
198.0,Andera,Alarcon,47,9233639894,35000.0,3300000
199.0,Anderson,Luna,50,9831106184,72000.0,4300000
200.0,Andra,Zamora,67,9512891717,132000.0,3700000
201.0,Andre,Castaño,59,9409193879,257000.0,1400000
202.0,Andrea,Salvador,66,9230856699,160000.0,1900000
203.0,Andreas,Bermejo,39,9404295289,127000.0,1600000
204.0,Andree,Paredes,64,9546474790,50000.0,4700000
205.0,Andres,Anton,46,9423711581,61000.0,4000000
206.0,Andrew,Ballesteros,47,9286300384,101000.0,2100000
207.0,Andria,Valverde,66,9578800227,210000.0,4700000
208.0,Andy,Maldonado,21,9961709322,37000.0,2200000
209.0,Anette,Bautista,29,9792613387,284000.0,4700000
210.0,Angel,Valle,42,9975548297,129000.0,3400000
211.0,Angela,Ponce,54,9809832965,93000.0,1900000
212.0,Angele,Oliva,22,9907227554,243000.0,1700000
213.0,Angelena,Rodrigo,62,9717190489,240000.0,1900000
214.0,Angeles,Lorente,50,9545243694,285000.0,4200000
215.0,Angelia,Cordero,68,9630396318,38000.0,4700000
216.0,Angelic,Juan,68,9761418031,223000.0,2200000
217.0,Angelica,De La Cruz,24,9606056493,182000.0,1200000
218.0,Angelika,Mas,47,9317388805,34000.0,1900000
219.0,Angelina,Collado,54,9317060744,161000.0,4900000
220.0,Angeline,Murillo,27,9562423937,134000.0,2100000
221.0,Angelique,Pozo,30,9593407816,68000.0,1300000
222.0,Angelita,Montoya,20,9445413160,147000.0,2600000
223.0,Angella,Cuenca,36,9506339628,151000.0,1000000
224.0,Angelo,Cuevas,45,9632141575,176000.0,4800000
225.0,Angelyn,Martos,54,9363893652,185000.0,800000
226.0,Angie,Marco,20,9740153812,102000.0,4600000
227.0,Angila,Barroso,67,9348283339,192000.0,4800000
228.0,Angla,Ros,66,9525270367,120000.0,1200000
229.0,Angle,Quesada,32,9320289803,117000.0,2800000
230.0,Anglea,De La Torre,32,9209824831,172000.0,1400000
231.0,Anh,Barrera,69,9438790371,109000.0,1900000
232.0,Anibal,Ordoñez,42,9914415599,187000.0,4700000
233.0,Anika,Gimeno,31,9906529352,262000.0,4300000
234.0,Anisa,Alba,32,9992247608,138000.0,2300000
235.0,Anisha,Corral,51,9308349212,141000.0,2000000
236.0,Anissa,Puig,50,9651785037,240000.0,4800000
237.0,Anita,Cabello,64,9505917637,264000.0,4300000
238.0,Anitra,Pulido,54,9437880477,85000.0,3300000
239.0,Anja,Rojo,38,9831684307,231000.0,1300000
240.0,Anjanette,Navas,39,9881414926,126000.0,1100000
241.0,Anjelica,Saiz,29,9993219098,72000.0,3200000
242.0,Ann,Arenas,21,9114155672,81000.0,4400000
243.0,Anna,Aguado,49,9999757819,111000.0,2500000
244.0,Annabel,Soria,48,9490132408,250000.0,2900000
245.0,Annabell,Domingo,53,9744129141,170000.0,3400000
246.0,Annabelle,Galindo,36,9527557533,175000.0,2500000
247.0,Annalee,Mena,64,9507039105,189000.0,2500000
248.0,Annalisa,Escribano,35,9235465741,54000.0,1300000
249.0,Annamae,Vallejo,20,9520954671,143000.0,1700000
250.0,Annamaria,Valencia,68,9120189951,165000.0,2600000
251.0,Annamarie,Asensio,43,9772698915,65000.0,4700000
252.0,Anne,Ramon,67,9486625000,45000.0,2400000
253.0,Anneliese,Lucas,23,9723576704,204000.0,3800000
254.0,Annelle,Caro,21,9828481296,266000.0,4400000
255.0,Annemarie,Polo,27,9166250716,250000.0,1500000
256.0,Annett,Chen,53,9167784356,221000.0,2800000
257.0,Annetta,Aguirre,35,9247752157,109000.0,3600000
258.0,Annette,Naranjo,60,9757972808,48000.0,4500000
259.0,Annice,Amador,49,9116409106,236000.0,1200000
260.0,Annie,Villalba,28,9836257121,82000.0,1700000
261.0,Annika,Mata,24,9691216518,209000.0,3200000
262.0,Annis,Reina,27,9298388045,112000.0,1700000
263.0,Annita,Paz,26,9102190008,57000.0,1000000
264.0,Annmarie,Moran,60,9480022732,98000.0,3900000
265.0,Anthony,Linares,30,9405972517,123000.0,1100000
266.0,Antione,Ojeda,56,9541658903,108000.0,1700000
267.0,Antionette,Leal,20,9228631557,212000.0,4300000
268.0,Antoine,Burgos,32,9213995694,58000.0,1900000
269.0,Antoinette,Carretero,62,9178620988,285000.0,4200000
270.0,Anton,Oliver,26,9956598054,227000.0,3200000
271.0,Antone,Bonilla,47,9345234695,260000.0,1800000
272.0,Antonetta,Sosa,40,9405872422,214000.0,4200000
273.0,Antonette,Roig,57,9518976383,115000.0,2700000
274.0,Antonia,Aragon,62,9547709205,215000.0,1200000
275.0,Antonietta,Carrion,44,9899647979,81000.0,5000000
276.0,Antonina,Clemente,28,9666830297,46000.0,1400000
277.0,Antonio,Villa,29,9984306813,214000.0,2900000
278.0,Antony,Castellano,40,9819261784,75000.0,3100000
279.0,Antwan,Cordoba,59,9443939782,116000.0,3500000
280.0,Anya,Carrera,50,9874876902,185000.0,1700000
281.0,Apolonia,Hernando,24,9887567962,217000.0,4100000
282.0,April,Rosa,56,9420633068,38000.0,1100000
283.0,Apryl,Andreu,56,9938512409,228000.0,2500000
284.0,Ara,Caceres,29,9697148952,135000.0,3600000
285.0,Araceli,Mohamed,30,9651985884,249000.0,2000000
286.0,Aracelis,Calero,33,9798534191,111000.0,3400000
287.0,Aracely,Cardenas,34,9492301818,250000.0,4500000
288.0,Arcelia,Cobo,53,9860490835,145000.0,2200000
289.0,Archie,Correa,21,9191616203,287000.0,3800000
290.0,Ardath,Juarez,25,9170005981,32000.0,2300000
291.0,Ardelia,Velazquez,30,9100608966,136000.0,2600000
292.0,Ardell,Alcaraz,21,9212845059,160000.0,3600000
293.0,Ardella,Chacon,51,9296412860,274000.0,2900000
294.0,Ardelle,Ferreira,25,9169200783,177000.0,3900000
295.0,Arden,Sola,69,9647665813,148000.0,4200000
296.0,Ardis,Domenech,56,9757942407,35000.0,1000000
297.0,Ardith,Zapata,40,9249491764,94000.0,2400000
298.0,Aretha,Riera,61,9124680892,188000.0,2900000
299.0,Argelia,Saavedra,30,9614182220,85000.0,4100000
300.0,Argentina,Toledo,46,9506356490,112000.0,5000000
301.0,John,Doe,30,1234567890,50000.0,1800000
302.0,Madhav,Sharma,23,933467,60000.0,2100000
